"V0";"V1";"V2a";"V2b";"V3a";"V3b";"V4a";"V4b";"V4c";"V5a";"V5b";"V5c";"V6";"V7";"V8";"V9";"V10a";"V10b";"V11a";"V11b";"V11c";"V12a";"V12b";"V13a";"V13b";"V14a";"V14b";"V15a";"V15b";"V16a";"V16b";"V17";"V18";"V19"
"NUI2121";"Marabá";"Jacundá";"Grupo 3";"Loteamento do Hélio";"1";"27";"Estimativa dos técnicos municipais";"2020";"2";;;"3";"2";"2";"4";"5";"Área Protegida - municipal";"0";;;"2";;"1";"-";"2";;"1";;"1";;"2";"324 lotes/ 27 familias";"até 50"
"NUI2122";"Marabá";"Jacundá";"Grupo 3";"Loteamento do Miltinho";"1";"140";"Estimativa dos técnicos municipais";"2020";"2";;;"3";"2";"2";"4";"5";"Área Protegida - municipal";"0";;;"2";;"1";"-";"2";;"1";;"1";;"3";"200 lotes/ 140 familias";"de 100 a 700"
"NUI2182";"Marabá";"Marabá";"Grupo 2";"Francisco coelho (Marabá pioneira)";"1";"371";"Censo IBGE";"2010";"5";;;"4";"3";"3";"2";"5";"Área Protegida - municipal";"1";"FBDS";;"3";"alagamento";"3";"2";"1";;"2";;"2";;"2";"Proteção de predios históricos. Casas muito pequenas de 2,5m largura";"de 100 a 700"
"NUI2183";"Marabá";"Marabá";"Grupo 2";"São Félix - Pioneira";"1";"505";"Censo IBGE";"2010";"6";;;"4";"3";"3";"1";"5";"Área Protegida - municipal";"1";"FBDS";;"3";"alagamento";"3";"2";"4";;"1";"misto com 2";"1";;"2";"em processo de regularização";"de 100 a 700"
"NUI2162";"Marabá";"Marabá";"Grupo 2";"Folha 6";"1";"1215";"Censo IBGE";"2010";"2";;;"4";"3";"3";"2";"5";"Área Protegida - municipal";"1";"FBDS";;"3";"alagamento";"4";"1";"1";;"1";;"3";;"3";;"de 701 a 2.000"
"NUI2149";"Marabá";"Marabá";"Grupo 2";"Morro da Folha 04";"1";"293";"Censo IBGE";"2010";"1";;;"4";"2";"3";"2";"5";"Área Protegida - municipal";"1";"FBDS";;"3";"desabamento";"4";"1";"4";;"1";;"3";;"3";;"de 100 a 700"
"NUI2184";"Marabá";"Marabá";"Grupo 2";"Bairro da Paz";"1";"1131";"Censo IBGE";"2010";"1";;;"4";"3";"3";"1";"5";"Área Protegida - municipal";"1";"FBDS";;"3";"alagamento, grotas";"3";"2";"1";;"1";;"3";;"3";;"de 701 a 2.000"
"NUI2134";"Marabá";"Marabá";"Grupo 2";"Vale do Itacaiúnas";"1";"429";"Censo IBGE";"2010";"1";;;"4";"3";"3";"1";"5";"Área Protegida - municipal";"1";"FBDS";;"2";;"4";"2";"1";;"1";;"4";;"2";;"de 100 a 700"
"NUI2147";"Marabá";"Marabá";"Grupo 2";"Invasão Revmar (folha 31)";"1";"21";"Censo IBGE";"2010";"1";;;"4";"3";"3";"1";"5";"Área Protegida - municipal";"0";;;"2";;"2";"-";"2";;"1";;"2";;"2";"Está sento regularizado";"até 50"
"NUI2151";"Marabá";"Marabá";"Grupo 2";"Novo Planalto (parte)";"1";"1285";"Censo IBGE";"2010";"1";;;"4";"2";"3";"1";"5";"Área Protegida - municipal";"0";;;"2";;"4";"2";"1";;"2";"misto com 1";"4";;"2";;"de 701 a 2.000"
