"V0";"V1";"V2a";"V2b";"V3a";"V3b";"V4a";"V4b";"V4c";"V5a";"V5b";"V5c";"V6";"V7";"V8";"V9";"V10a";"V10b";"V11a";"V11b";"V11c";"V12a";"V12b";"V13a";"V13b";"V14a";"V14b";"V15a";"V15b";"V16a";"V16b";"V17";"V18";"V19"
"NUI0880";"Belo Horizonte";"Juatuba";"Grupo 3";"Conjunto Habitacional Maria Rita Lopes";"3.PMRF";"90";"PMRF";"2010";"3";;;"4";"3";"2";"2";"1";;"1";"FBDS";;"3";"Apresenta médio risco à vida.";"1";"-";"1";;"1";;"1";;"2";;"de 51 a 99"
"NUI0591";"Belo Horizonte";"Contagem";"Grupo 1";"Vila Firmo de Matos";"3.PLHIS";"63";"PLHIS";"2012";"1";;;"4";"5";"3";"1";"1";;"1";"FBDS";;"3";"inundação";"4";"2";"1";;"4";;"3";"alvenaria e laje";"2";;"de 51 a 99"
"NUI0590";"Belo Horizonte";"Contagem";"Grupo 1";"Vila do Canal";"3.PLHIS";"152";"PLHIS";"2012";"1";;;"4";"1";"3";"1";"1";;"1";"FBDS";;"3";"inundação";"4";"2";"3";;"4";;"2";"alvenaria e telha sem laje";"2";"Segundo o PLHIS, a Prefeitura removeu parte do NUI para remoção de situação de risco.";"de 100 a 700"
"NUI0877";"Belo Horizonte";"Juatuba";"Grupo 3";"Bairro Colorado";"3.PMRF";"13";"PMRF";"2010";"2";;;"4";"1";"2";"2";"1";;"1";"FBDS";;"3";"Apresenta médio risco à vida.";"1";"-";"1";;"1";;"1";;"2";;"até 50"
"NUI0883";"Belo Horizonte";"Juatuba";"Grupo 3";"Ocupação do bairro Eldorado";"3.IBGE";"70";"Aglomerados Subnormais 2019";"2020";"1";;;"2";"1";"2";"3";"1";;"1";"FBDS";;"1";;"1";"-";"1";;"1";;"4";;"4";;"de 51 a 99"
"NUI0879";"Belo Horizonte";"Juatuba";"Grupo 3";"Santo Antônio";"3.PMRF";"313";"PMRF";"2010";"2";;"maior parte 2";"4";"2";"2";"2";"1";;"1";"FBDS";;"3";"Apresenta médio risco à vida.";"1";"-";"1";;"1";;"1";;"2";;"de 100 a 700"
"NUI0878";"Belo Horizonte";"Juatuba";"Grupo 3";"Bairro Eldorado";"3.PMRF";"336";"PMRF";"2010";"2";;;"4";"1";"2";"2";"1";;"1";"FBDS";;"3";"Apresenta médio risco à vida.";"1";"-";"1";;"1";;"1";;"2";;"de 100 a 700"
"NUI0616";"Belo Horizonte";"Contagem";"Grupo 1";"Vila Júlia Kubitscheck";"3.PLHIS";"60";"PLHIS";"2012";"1";;;"4";"2";"3";"1";"1";;"1";"FBDS";;"2";;"2";"-";"1";;"4";;"2";"alvenaria e telha sem laje/com laje";"2";;"de 51 a 99"
"NUI0588";"Belo Horizonte";"Contagem";"Grupo 1";"Vila São Vicente";"3.PLHIS";"223";"PLHIS";"2012";"1";;;"4";"3";"3";"1";"1";;"1";"FBDS";;"2";;"3";"2";"3";;"4";;"2";"alvenaria e telha sem laje";"2";;"de 100 a 700"
"NUI0620";"Belo Horizonte";"Contagem";"Grupo 1";"Vila Espera Feliz";"3.PLHIS";"89";"PLHIS";"2012";"1";;;"4";"5";"3";"1";"1";;"1";"FBDS";;"3";"escorregamento";"2";"-";"2";;"2";;"1";"alvenaria e telha com laje";"2";;"de 51 a 99"
"NUI0619";"Belo Horizonte";"Contagem";"Grupo 1";"Vila Jardim Eldorado";"3.PLHIS";"491";"PLHIS";"2012";"1";;;"4";"3";"3";"1";"1";;"1";"FBDS";;"3";"erosão e escorregamento";"4";"2";"2";;"4";;"1";"alvenaria e telha sem laje";"2";;"de 100 a 700"
"NUI0584";"Belo Horizonte";"Contagem";"Grupo 1";"Vila Itaú";"3.PLHIS";"516";"PLHIS";"2012";"1";;;"4";"2";"3";"1";"1";;"1";"FBDS";;"3";"inundação";"2";"-";"1";;"3";;"2";"alvenaria e telha sem laje/com laje";"2";;"de 100 a 700"
